"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Lgals1",9.89106611732255e-22,-0.37332496006413,0.698,0.766,2.53033253413345e-17,"Lgals1"
"Bnip3",1.42259595263669e-21,0.26176422566991,0.85,0.803,3.63928496603519e-17,"Bnip3"
"Ptprz1",1.79212459287828e-21,0.286449900824422,0.298,0.195,4.58461313350123e-17,"Ptprz1"
"Lta4h",1.91682779136455e-21,-0.259640147181023,0.692,0.748,4.9036288558688e-17,"Lta4h"
"Pbk",2.44584935269776e-21,-0.263911318834174,0.658,0.722,6.25697181407142e-17,"Pbk"
"Gpc1",3.03416350208989e-21,-0.250563159796483,0.431,0.533,7.76199707104636e-17,"Gpc1"
"Aurka",4.19941925294904e-21,-0.302463601293808,0.79,0.861,1.07429543328942e-16,"Aurka"
"Amt",4.39105941413893e-21,-0.292864232943171,0.4,0.494,1.12332081932502e-16,"Amt"
"Spry2",6.16667969308421e-21,-0.394964624661071,0.409,0.504,1.5775599990848e-16,"Spry2"
"Nectin2",6.19003473553931e-21,-0.287010690928978,0.658,0.749,1.58353468604567e-16,"Nectin2"
"Kif21a",7.57181176166628e-21,0.318348164534521,0.432,0.316,1.93702088486947e-16,"Kif21a"
"Tmem214",9.60434125026197e-21,-0.252120950460878,0.506,0.595,2.45698257864202e-16,"Tmem214"
"Ctxn1",1.37959429281587e-20,-0.269490109875024,0.576,0.665,3.52927811988155e-16,"Ctxn1"
"Mn1",1.7447900910015e-20,-0.34428745391354,0.243,0.352,4.46352201080003e-16,"Mn1"
"Kif20b",2.75176953733492e-20,0.266962424926574,0.841,0.78,7.03957683041019e-16,"Kif20b"
"Litaf",3.15757464434895e-20,-0.274095236783371,0.64,0.704,8.07770745517348e-16,"Litaf"
"Rcan1",9.88236553563767e-20,-0.262352047052582,0.453,0.548,2.52810675132683e-15,"Rcan1"
"Rtl8a",1.26551061657668e-19,-0.264388886419196,0.473,0.563,3.23742925932646e-15,"Rtl8a"
"Snhg4",2.11344806167324e-19,0.251086231441717,0.888,0.852,5.40662283137249e-15,"Snhg4"
"Snhg15",2.18168351548264e-19,-0.303251321491665,0.83,0.854,5.58118276930769e-15,"Snhg15"
"Epop",2.46380861237707e-19,-0.264318706324783,0.79,0.829,6.30291519218303e-15,"Epop"
"Fbn2",4.13812117849936e-19,0.331520951499397,0.551,0.436,1.05861415988371e-14,"Fbn2"
"Fads2",8.76861932301199e-19,-0.254015218253077,0.483,0.562,2.24318819521293e-14,"Fads2"
"Hoxb5os",1.15758449019518e-18,0.819222788092038,0.391,0.319,2.96133264281732e-14,"Hoxb5os"
"Erdr1",1.32699281163766e-18,-0.265025452210408,0.339,0.443,3.39471301073147e-14,"Erdr1"
"Cdh11",5.46357779252968e-18,0.296444924372383,0.429,0.317,1.39769247088494e-13,"Cdh11"
