"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sox9",0.000618864187345446,0.279724499558608,0.312,0.272,1
"Ckb",0.000718134641438225,-0.333255178251694,0.358,0.408,1
"5430431A17Rik",0.00101901186082523,0.381500030217644,0.111,0.082,1
"Cdx4",0.00117116580395108,-0.491016556733153,0.304,0.323,1
"Car2",0.00152369114041149,-0.272905176003739,0.39,0.429,1
"Myl3",0.00235803637055039,-0.271564948993493,0.081,0.106,1
"Sh3bgr",0.00301422699080035,-0.29529420747392,0.121,0.152,1
"Myl4",0.00307439682819684,-0.316092960937168,0.137,0.169,1
"Tnnc1",0.00335717970852784,-0.250251604233672,0.106,0.134,1
"Comt",0.00445730445717518,0.345970367038768,0.72,0.733,1
"Fgf8",0.00507194285163285,-0.385287729984026,0.432,0.458,1
"H19",0.00675108941276038,0.291847106422464,0.672,0.638,1
"Crabp1",0.00899863930359516,-0.279928350856805,0.913,0.876,1
"Twist1",0.00987208318149898,-0.342800261088148,0.401,0.423,1
"Pax6",0.0162311084616684,0.357069190874401,0.214,0.196,1
"Myl7",0.0283373759697205,-0.279431057263561,0.272,0.306,1
"Crabp2",0.0544504362832574,-0.268223062172846,0.823,0.782,1
"Ahnak",0.0579515781274166,0.286536487762447,0.208,0.192,1
"Phlda2",0.109490736531519,-0.469296329617483,0.507,0.502,1
"Dqx1",0.202302906525656,0.46188843008284,0.205,0.195,1
"Spink1",0.241916763400773,0.390302922842544,0.113,0.125,1
"Pmp22",0.264507140915862,0.26813703141076,0.326,0.351,1
"Cdkn1c",0.277760220084019,-0.278528206836018,0.719,0.711,1
"Epcam",0.332898904017874,-0.356904618350863,0.317,0.292,1
"Actc1",0.486195052937896,-0.387451187111838,0.125,0.119,1
